Target value of 0 = negative
Target value of 1 = positive
Target value of u = unclassified(Advanced Classification Method)

Well,Target 1,Target 2,Target 3,Target 4,Count,Ch1 Mean,Ch1 StdDev,Ch2 Mean,Ch2 StdDev,Ch3 Mean,Ch3 StdDev,Ch4 Mean,Ch4 StdDev,Ch5 Mean,Ch5 StdDev,Ch6 Mean,Ch6 StdDev,Cluster ID
A04,0,1,0,0,30,341.865156046549,38.402185429833,1751.62028401693,220.603397137486,603.348718261719,37.3307007989708,55.327601313591,37.2003519578115,12.1460035492977,52.9103064345244,137.475423590342,75.8125255815638,3,
A04,1,1,0,0,1,2818.13305664063,0,1555.48315429688,0,667.074401855469,0,59.7831420898438,0,63.628044128418,0,26.8678493499756,0,4,
A04,0,0,1,0,9,321.15685696072,42.7886497880665,739.125142415365,42.1848438444687,3533.16872829861,1722.46595062948,-56.4374051888784,107.969861001053,5.83126025729709,67.1639671991337,132.983834372626,114.65884336768,5,
A04,1,0,1,0,15,1904.45805257161,1100.97829796202,752.903161621094,58.7987443600498,3025.05637207031,1453.26502735757,-51.1968834241231,102.407834553174,19.263013813893,79.1361173823193,133.139078203837,92.3926882951453,6,
A04,0,1,1,0,10,337.681390380859,25.5202054509416,1711.55345458984,186.275658367863,2308.61936645508,1069.93729905436,-19.5826189994812,66.1801400667096,48.5976674079895,115.367872518449,108.773915100098,181.506418180891,7,
A04,1,1,1,0,1,1368.40356445313,0,2029.80151367188,0,3765.06909179688,0,-23.1986293792725,0,4.02330112457275,0,158.558532714844,0,8,
A04,0,0,0,1,5,293.573373413086,35.6925834970216,766.189050292969,54.7877059287902,553.656005859375,70.7216017281373,34.2139068603516,60.8122915809728,-156.677368164063,92.8194321581382,1489.993359375,300.243325500059,9,
A04,1,0,0,1,2,773.543762207031,58.6063945453429,768.180389404297,5.63540453817343,807.178741455078,131.835406879636,35.5998344421387,39.0279493523082,-34.5441265106201,62.8537098237242,827.015045166016,535.292565078215,10,
A04,0,1,0,1,2,294.459228515625,26.411241023053,1722.22399902344,90.1671631447409,624.221160888672,60.9467436312439,64.9645566940308,78.8900057414839,-49.0699695646763,70.1364877884214,579.02033996582,212.949432359033,11,
A04,0,0,1,1,3,338.783538818359,22.427441001916,775.659383138021,48.6247822911854,4843.05045572917,440.810192850759,-218.793266296387,99.8833665171159,-72.067195892334,25.893766922225,969.734456380208,315.188721274853,12,
A04,1,0,1,1,9,1833.8479953342,1212.73021422671,786.920735677083,100.509505423685,3205.20879448785,1021.86965555978,-81.9365439944797,85.6220966266499,-83.6009396447076,85.2339187687051,861.470781114366,315.739122506831,13,
