Target value of 0 = negative
Target value of 1 = positive
Target value of u = unclassified(Advanced Classification Method)

Well,Target 1,Target 2,Target 3,Target 4,Target 5,Count,Ch1 Mean,Ch1 StdDev,Ch2 Mean,Ch2 StdDev,Ch3 Mean,Ch3 StdDev,Ch4 Mean,Ch4 StdDev,Ch5 Mean,Ch5 StdDev,Ch6 Mean,Ch6 StdDev,Cluster ID
A12,0,0,0,1,0,5,793.296984863281,59.8746477456609,562.570526123047,59.6324814600925,98.0676147460938,41.9490634276095,55.6083728790283,35.9504334864924,3956.35263671875,823.295540335044,867.39560546875,107.056897855242,8,
A12,1,0,0,1,0,1,8064.57958984375,0,582.517456054688,0,267.78076171875,0,97.1284713745117,0,4676.44287109375,0,908.147399902344,0,9,
A12,0,0,1,1,0,22,780.263555353338,61.0459634757068,544.269502119585,64.4116848073015,670.429286609996,152.229994190183,83.1921842748469,47.4151934411508,3641.20876242898,552.794954574332,778.17788141424,94.3089432858795,10,
A12,1,0,1,1,0,34,7148.32915900735,586.896703931621,568.332419900333,104.072133379451,583.695422453039,158.419145845529,71.6920557162341,55.4653608873182,3580.44414565142,495.763732982145,741.211880852194,95.5429352818161,11,
A12,0,1,1,1,0,1,1067.76147460938,0,2032.42980957031,0,567.632202148438,0,83.8122787475586,0,3989.05810546875,0,747.452087402344,0,12,
A12,1,1,1,1,0,10,6367.27495117187,625.522942722244,1669.14152832031,104.713404522964,434.99407043457,118.589580655056,82.19074665308,71.7213322466816,2904.61201171875,574.131313685208,819.862188720703,130.333873358355,13,
A12,0,0,0,0,1,67,800.983006719333,65.3069969196676,596.604863864272,68.4955006454525,94.876446723938,37.9121494455654,83.1581652627062,54.4481928257427,-45.2666639320886,103.227553562842,4297.03743732509,762.15556340308,14,
A12,1,0,0,0,1,16,7364.37533569336,709.063380798374,577.459846496582,100.56501676199,87.8209076523781,44.5654297931571,87.7908514142036,46.7122746270242,30.1791435480118,135.756505229016,3591.74798583984,925.680895194823,15,
A12,0,1,0,0,1,12,859.810246785482,66.8138159495923,1791.91132609049,201.889356059324,106.719460169474,51.0666424473214,83.1531637509664,71.792481500067,82.1263213157654,108.163183434294,2870.81764729818,811.92551342076,16,
A12,1,1,0,0,1,6,7186.58943684896,767.362952030588,1883.54677327474,325.089266650201,113.055081049601,49.567317889971,83.6913509368896,74.2932325102125,169.92839050293,143.5215834463,2454.62310791016,1296.64554157125,17,
A12,1,0,1,0,1,2,7827.412109375,631.958731802361,678.204772949219,76.5678735350336,881.186370849609,0.776807553379924,54.0273818969727,7.92808520123388,416.580795288086,50.5895757294777,3481.57836914063,333.069045758793,18,
