Target value of 0 = negative
Target value of 1 = positive
Target value of u = unclassified(Advanced Classification Method)

Well,Target 1,Target 2,Target 3,Target 4,Target 5,Count,Ch1 Mean,Ch1 StdDev,Ch2 Mean,Ch2 StdDev,Ch3 Mean,Ch3 StdDev,Ch4 Mean,Ch4 StdDev,Ch5 Mean,Ch5 StdDev,Ch6 Mean,Ch6 StdDev,Cluster ID
B05,1,0,0,1,1,1,4077.6708984375,0,846.935302734375,0,1926.19604492188,0,86.7204742431641,0,2894.07299804688,0,797.938903808594,0,8,
B06,0,0,0,0,,10764,470.461718337769,90.1163961993116,567.790010356584,108.648057063134,252.95155995134,48.8704372432202,123.640404308051,39.587725153193,-4.2517901654481,33.7617146775567,265.675460880638,55.7675063570493,1,
B06,1,0,0,0,,2,3488.08142089844,1194.73787192219,572.961486816406,157.426120917586,264.332473754883,73.1080178359374,127.746200561523,49.6124917467706,36.9007587432861,8.62848355283664,237.146469116211,38.044472535619,2,
B06,0,1,0,0,,3,472.440358479818,66.8837986015563,1231.90873209635,131.155560947383,227.909784952799,35.6731400793201,113.837626139323,32.2570489043013,-5.27096605300903,29.9315942614598,236.932876586914,19.2365724865146,3,
B06,0,0,1,0,,2,559.496627807617,75.3184602194843,663.400451660156,89.3554404677049,1555.27404785156,50.8968417651624,151.374534606934,96.740625706949,22.3731071949005,25.9767936688263,308.531021118164,49.3713443383307,4,
B06,1,0,1,0,,1,2007.51208496094,0,486.442138671875,0,485.953704833984,0,108.957695007324,0,-8.98917961120605,0,391.690582275391,0,5,
B06,0,0,0,1,,2,552.791351318359,87.8474437610741,610.329650878906,0.756911543484477,230.542358398438,2.37921320067513,160.372688293457,26.5749515209617,-302.486251831055,41.8873803731686,2447.3828125,19.974385500588,6,
B06,1,0,0,1,,1,4274.8369140625,0,624.732727050781,0,255.810852050781,0,201.911270141602,0,-265.534057617188,0,2283.1201171875,0,7,
B06,1,0,1,1,,2,3283.4755859375,387.431677499322,523.686111450195,127.443028217826,829.402618408203,98.5818805793285,95.3286666870117,70.4337632086945,-50.3407135009766,40.0679420582774,1095.9599609375,216.882044874604,8,
B06,1,1,1,1,,1,4532.19140625,0,1851.45178222656,0,986.267639160156,0,199.575485229492,0,-118.254508972168,0,1081.04626464844,0,9,
B07,0,0,0,0,,11883,273.09554504957,57.6809555490599,582.896236022574,95.9021558493774,966.775109307529,180.259794122053,116.309891548399,50.3411139130043,0.801402759809601,34.026385132387,251.491934989705,51.053573980972,1,
B07,1,0,0,0,,3,3507.08219401042,1218.18370200337,623.4150390625,211.52080780604,833.781534830729,159.427010293013,101.910933176676,52.318462711084,-29.9263874689738,25.1306144006956,248.385187784831,59.2574384806763,2,
B07,0,1,0,0,,5,345.085433959961,220.57434619844,1208.86979980469,84.9820162237747,996.148498535156,320.88173114229,133.708813476563,51.0399040822644,-21.3649258613586,26.6274157395342,309.251840209961,83.9516989755662,3,
B07,0,0,1,0,,3,250.580698649089,39.6728788998329,538.425028483073,35.5052936228289,4780.66471354167,555.019419443414,58.1265449523926,34.6557821310386,-35.7846993605296,32.7925112420349,246.624649047852,47.1883278447309,4,
B07,1,1,1,0,,2,3447.78100585938,967.861038423662,1546.69348144531,260.99646202569,3112.16235351563,1004.89644662227,173.25284576416,5.77999587689842,-17.9221363067627,59.4761463521078,284.683486938477,83.3900685897145,5,
B07,0,0,0,1,,4,217.884113311768,44.0437077206753,536.369682312012,32.2717049296889,802.019622802734,108.679065564616,136.365156173706,52.4757230632103,-220.23878288269,88.9984262917995,1780.28988647461,56.112387617132,6,
B07,1,1,0,1,,1,2633.82690429688,0,1291.02099609375,0,1021.47381591797,0,51.3334999084473,0,-68.8735046386719,0,647.255920410156,0,7,
