Target value of 0 = negative
Target value of 1 = positive
Target value of u = unclassified(Advanced Classification Method)

Well,Target 1,Target 2,Target 3,Target 4,Count,Ch1 Mean,Ch1 StdDev,Ch2 Mean,Ch2 StdDev,Ch3 Mean,Ch3 StdDev,Ch4 Mean,Ch4 StdDev,Ch5 Mean,Ch5 StdDev,Ch6 Mean,Ch6 StdDev,Cluster ID
A12,1,0,0,0,19,6651.96163137335,438.993704133625,717.805998149671,120.139020560956,260.327192607679,37.746026799322,133.34995530781,35.3579184709291,8.97150687167519,86.1073249963961,593.572927374589,64.348960452114,2,
A12,0,1,0,0,174,730.260787788479,71.6143736006824,2172.69859857669,203.338786737964,251.286280226433,39.4134197231942,141.948839658978,47.0842630460531,-4.20336933040071,63.3091206675353,608.021807791173,68.5668052574838,3,
A12,1,1,0,0,1,6187.44140625,0,2179.63818359375,0,311.745422363281,0,114.711326599121,0,71.58642578125,0,549.80322265625,0,4,
A12,0,0,1,0,32,667.080953598022,63.6373139791516,756.15585899353,85.9823954733884,2200.18883705139,598.713624964291,185.730338811874,89.2491161848025,25.0807164460421,65.8112102379272,603.461068153381,83.471217571043,5,
A12,1,0,1,0,45,6480.86141493056,606.62232484885,742.136501736111,112.969757839495,1574.89567328559,304.489170418629,140.7362159729,65.0024374118439,-8.35744217501746,64.7586828775207,618.471296522352,79.5185059670822,6,
A12,0,0,0,1,42,667.095679873512,57.521371657621,701.547537667411,79.5434657550898,81.65002204123,224.57391087947,122.660841516086,126.521406063429,-918.29901331947,285.145281721461,9617.46070643834,2790.72190330971,7,
A12,1,0,0,1,14,6479.85630580357,703.378794213924,707.174074445452,173.460613973976,130.577037811279,40.0300527265862,126.56359236581,63.1023093125462,-749.674303327288,220.937748428354,7631.31389508929,2001.22352906834,8,
A12,0,1,0,1,7,754.68363734654,39.737211146523,2188.62808663504,214.964983159237,188.535180228097,42.5182949782513,104.393509728568,75.8846498943318,-609.249703543527,139.409563985427,7704.17912946429,524.585942788164,9,
A12,1,1,0,1,3,6552.07796223958,609.71859014368,2297.2099202474,245.595300271837,172.338218688965,64.8249845564615,156.310969034831,8.28877835496157,-503.486323038737,228.846867997626,5756.03043619792,1031.67754819445,10,
A12,0,0,1,1,2,731.5810546875,36.4796146727252,683.585113525391,11.7553481286162,1303.51861572266,224.309169262689,161.578384399414,9.86628456868423,-360.301651000977,55.8296495721147,4549.15795898438,749.351922891665,11,
A12,1,0,1,1,67,6411.95515829058,548.522913849719,735.100569539995,119.079858746287,1337.53166267053,227.75616575896,162.291064582654,59.1548362659244,-431.730042642622,140.36681682538,5100.83324830924,1061.70417140695,12,
A12,0,1,1,1,1,717.897277832031,0,1764.47802734375,0,913.747253417969,0,142.406158447266,0,-291.269805908203,0,3365.48193359375,0,13,
A12,1,1,1,1,188,6318.22074468085,544.909193467092,2077.76762422602,199.521936940131,1102.55970796626,228.096675833684,147.110285454608,63.8302628722376,-347.067878601399,123.103503018052,4035.97741244702,1072.49714346245,14,
B11,0,0,0,0,14302,530.581344433788,54.1623893698527,1069.29058305721,104.76033916333,142.026749226417,22.9673075555341,69.8140492621596,32.5949019822687,7.4101350743794,34.9324326732527,299.645189961959,41.4254524960285,1,
B11,1,0,0,0,11,5479.16490589489,546.959001384677,1055.40854714134,184.760756214158,149.553260109641,16.983924001109,56.8196571523493,46.3931474094591,10.7514660791917,43.1229021378547,282.635244196112,56.6360063963634,2,
B11,0,1,0,0,143,745.950881637893,83.9741061817999,5775.05907520214,496.505635647317,137.279520208185,20.8940345111216,68.5356024298426,31.2511333006346,-7.76608639116679,37.6263303834403,297.459739204887,38.6600973960922,3,
B11,1,1,0,0,6,5720.34334309896,400.088698676726,5546.37255859375,664.559227556997,144.820812225342,21.2924118949881,79.9167617162069,44.864907357899,-35.1666337649027,36.0232855124675,330.550130208333,15.7244345683651,4,
